"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
59,"Pokemon FireRed/Pokemon LeafGreen","GBA",25,"Role-Playing","Nintendo",4.34,2.65,3.15,0.35,10.49
60,"Super Mario 64","DS",25,"Platform","Nintendo",5.08,3.11,1.25,0.98,10.42
61,"Just Dance 3","Wii",32,"Misc","Ubisoft",6.05,3.15,0,1.07,10.26
62,"Call of Duty: Ghosts","X360",34,"Shooter","Activision",6.72,2.63,0.04,0.82,10.21
63,"Halo: Reach","X360",31,"Shooter","Microsoft Game Studios",7.03,1.98,0.08,0.78,9.88
64,"Mario Kart 64","N64",17,"Racing","Nintendo",5.55,1.94,2.23,0.15,9.87
65,"New Super Mario Bros. 2","3DS",33,"Platform","Nintendo",3.66,3.07,2.47,0.63,9.82
66,"Halo 4","X360",33,"Shooter","Microsoft Game Studios",6.63,2.36,0.04,0.73,9.76
67,"Final Fantasy VII","PS",18,"Role-Playing","Sony Computer Entertainment",3.01,2.47,3.28,0.96,9.72
68,"Call of Duty: Ghosts","PS3",34,"Shooter","Activision",4.09,3.73,0.38,1.38,9.59
69,"Just Dance 2","Wii",31,"Misc","Ubisoft",5.84,2.89,0.01,0.78,9.52
70,"Gran Turismo 2","PS",20,"Racing","Sony Computer Entertainment",3.88,3.42,1.69,0.5,9.49
71,"Call of Duty 4: Modern Warfare","X360",28,"Shooter","Activision",5.91,2.38,0.13,0.9,9.32
72,"Donkey Kong Country","SNES",15,"Platform","Nintendo",4.36,1.71,3,0.23,9.3
73,"Minecraft","X360",34,"Misc","Microsoft Game Studios",5.58,2.83,0.02,0.77,9.2
74,"Animal Crossing: New Leaf","3DS",33,"Simulation","Nintendo",2.01,2.32,4.36,0.41,9.09
75,"Mario Party DS","DS",28,"Misc","Nintendo",4.46,1.88,1.98,0.7,9.02
76,"The Elder Scrolls V: Skyrim","X360",32,"Role-Playing","Bethesda Softworks",5.03,2.86,0.1,0.85,8.84
77,"Super Mario Kart","SNES",13,"Racing","Nintendo",3.54,1.24,3.81,0.18,8.76
78,"FIFA 16","PS4",36,"Sports","Electronic Arts",1.11,6.06,0.06,1.26,8.49
79,"Wii Party","Wii",31,"Misc","Nintendo",1.79,3.53,2.49,0.68,8.49
80,"Halo 2","XB",25,"Shooter","Microsoft Game Studios",6.82,1.53,0.05,0.08,8.49
81,"Mario Party 8","Wii",28,"Misc","Nintendo",3.81,2.3,1.58,0.73,8.42
82,"Pokemon Black 2/Pokemon White 2","DS",33,"Role-Playing","Nintendo",2.91,1.86,3.14,0.43,8.33
83,"FIFA Soccer 13","PS3",33,"Action","Electronic Arts",1.06,5.05,0.13,2.01,8.24
84,"The Sims 3","PC",30,"Simulation","Electronic Arts",0.98,6.42,0,0.71,8.11
85,"GoldenEye 007","N64",18,"Shooter","Nintendo",5.8,2.01,0.13,0.15,8.09
86,"Mario & Sonic at the Olympic Games","Wii",28,"Sports","Sega",2.58,3.9,0.66,0.91,8.06
87,"Final Fantasy X","PS2",22,"Role-Playing","Sony Computer Entertainment",2.91,2.07,2.73,0.33,8.05
88,"Final Fantasy VIII","PS",20,"Role-Playing","SquareSoft",2.28,1.72,3.63,0.23,7.86
89,"Pokémon Platinum Version","DS",29,"Role-Playing","Nintendo",2.82,1.78,2.69,0.55,7.84
90,"Pac-Man","2600",3,"Puzzle","Atari",7.28,0.45,0,0.08,7.81
91,"Grand Theft Auto: Liberty City Stories","PSP",26,"Action","Take-Two Interactive",2.9,2.83,0.24,1.75,7.72
92,"Super Mario Galaxy 2","Wii",31,"Platform","Nintendo",3.66,2.42,0.98,0.64,7.69
93,"Star Wars Battlefront (2015)","PS4",36,"Shooter","Electronic Arts",2.93,3.29,0.22,1.23,7.67
94,"Call of Duty: Advanced Warfare","PS4",35,"Shooter","Activision",2.8,3.3,0.14,1.37,7.6
95,"The Legend of Zelda: Ocarina of Time","N64",19,"Action","Nintendo",4.1,1.89,1.45,0.16,7.6
96,"Crash Bandicoot 2: Cortex Strikes Back","PS",18,"Platform","Sony Computer Entertainment",3.78,2.17,1.31,0.31,7.58
97,"Super Mario Bros. 2","NES",9,"Platform","Nintendo",5.39,1.18,0.7,0.19,7.46
98,"Super Smash Bros. for Wii U and 3DS","3DS",35,"Fighting","Nintendo",3.24,1.35,2.42,0.43,7.45
99,"Call of Duty: World at War","X360",29,"Shooter","Activision",4.79,1.9,0,0.69,7.37
100,"Battlefield 3","X360",32,"Shooter","Electronic Arts",4.46,2.13,0.06,0.69,7.34
101,"The Legend of Zelda: Twilight Princess","Wii",27,"Action","Nintendo",3.83,2.19,0.6,0.7,7.31
102,"Call of Duty: Black Ops 3","XOne",36,"Shooter","Activision",4.52,2.09,0.01,0.67,7.3
103,"Just Dance","Wii",30,"Misc","Ubisoft",3.51,3.03,0,0.73,7.27
104,"Battlefield 3","PS3",32,"Shooter","Electronic Arts",2.85,2.93,0.35,1.1,7.23
