Series ID,Year,Period,Label,Value
LAUCN480150000000003,2016,M01,2016 Jan,4.9
LAUCN480150000000003,2016,M02,2016 Feb,5.0
LAUCN480150000000003,2016,M03,2016 Mar,5.2
LAUCN480150000000003,2016,M04,2016 Apr,5.0
LAUCN480150000000003,2016,M05,2016 May,5.0
LAUCN480150000000003,2016,M06,2016 Jun,5.9
LAUCN480150000000003,2016,M07,2016 Jul,6.0
LAUCN480150000000003,2016,M08,2016 Aug,5.9
LAUCN480150000000003,2016,M09,2016 Sep,5.8
LAUCN480150000000003,2016,M10,2016 Oct,5.2
LAUCN480150000000003,2016,M11,2016 Nov,5.0
LAUCN480150000000003,2016,M12,2016 Dec,4.9
LAUCN480150000000003,2017,M01,2017 Jan,5.4
LAUCN480150000000003,2017,M02,2017 Feb,5.1
LAUCN480150000000003,2017,M03,2017 Mar,4.9
LAUCN480150000000003,2017,M04,2017 Apr,4.3
LAUCN480150000000003,2017,M05,2017 May,4.4
LAUCN480150000000003,2017,M06,2017 Jun,4.6
LAUCN480150000000003,2017,M07,2017 Jul,4.6
LAUCN480150000000003,2017,M08,2017 Aug,4.4
LAUCN480150000000003,2017,M09,2017 Sep,4.0
LAUCN480150000000003,2017,M10,2017 Oct,3.6
LAUCN480150000000003,2017,M11,2017 Nov,3.8
LAUCN480150000000003,2017,M12,2017 Dec,3.6
LAUCN480150000000003,2018,M01,2018 Jan,4.1
LAUCN480150000000003,2018,M02,2018 Feb,4.0
LAUCN480150000000003,2018,M03,2018 Mar,3.8
LAUCN480150000000003,2018,M04,2018 Apr,3.5
LAUCN480150000000003,2018,M05,2018 May,3.4
LAUCN480150000000003,2018,M06,2018 Jun,4.0
LAUCN480150000000003,2018,M07,2018 Jul,3.8
LAUCN480150000000003,2018,M08,2018 Aug,3.7
LAUCN480150000000003,2018,M09,2018 Sep,3.4
LAUCN480150000000003,2018,M10,2018 Oct,3.2
LAUCN480150000000003,2018,M11,2018 Nov,3.2
LAUCN480150000000003,2018,M12,2018 Dec,3.4
LAUCN480150000000003,2019,M01,2019 Jan,4.0
LAUCN480150000000003,2019,M02,2019 Feb,3.6
LAUCN480150000000003,2019,M03,2019 Mar,3.4
LAUCN480150000000003,2019,M04,2019 Apr,2.9
LAUCN480150000000003,2019,M05,2019 May,3.0
LAUCN480150000000003,2019,M06,2019 Jun,3.7
LAUCN480150000000003,2019,M07,2019 Jul,3.8
LAUCN480150000000003,2019,M08,2019 Aug,3.6
LAUCN480150000000003,2019,M09,2019 Sep,3.3
LAUCN480150000000003,2019,M10,2019 Oct,3.3
LAUCN480150000000003,2019,M11,2019 Nov,3.4
LAUCN480150000000003,2019,M12,2019 Dec,3.2
LAUCN480150000000003,2020,M01,2020 Jan,3.7
LAUCN480150000000003,2020,M02,2020 Feb,3.5
LAUCN480150000000003,2020,M03,2020 Mar,5.2
LAUCN480150000000003,2020,M04,2020 Apr,9.6
